setsockopt: Protocol not available
219.625 237.816 232 2
172.334 437.784 214 1
218.93 237.097 226 2
171.451 437.315 208 2
218.164 236.454 220 2
170.523 436.94 202 2
217.398 235.812 220 0
169.596 436.566 202 0
216.703 235.092 226 1
168.669 436.191 202 0
216.087 234.304 232 1
167.742 435.817 202 0
215.393 233.585 226 2
166.781 435.541 196 2
214.627 232.942 220 2
165.853 435.166 202 1
213.798 232.383 214 2
164.971 434.697 208 1
212.915 231.913 208 2
164.141 434.138 214 1
212.032 231.444 208 0
163.375 433.495 220 1
211.149 230.974 208 0
162.681 432.776 226 1
210.266 230.505 208 0
162.065 431.988 232 1
209.383 230.036 208 0
161.449 431.2 232 0
208.5 229.566 208 0
160.834 430.411 232 0
207.671 229.007 214 1
160.304 429.563 238 1
206.788 228.537 208 2
159.774 428.715 238 0
205.861 228.163 202 2
159.244 427.867 238 0
204.978 227.693 208 1
158.714 427.019 238 0
204.095 227.224 208 0
158.184 426.171 238 0
203.212 226.754 208 0
157.654 425.323 238 0
202.329 226.285 208 0
157.039 424.535 232 2
201.5 225.726 214 1
156.423 423.747 232 0
200.734 225.083 220 1
155.807 422.959 232 0
200.039 224.364 226 1
155.277 422.111 238 1
199.424 223.576 232 1
154.839 421.212 244 1
198.894 222.728 238 1
154.497 420.273 250 1
198.455 221.829 244 1
154.155 419.333 250 0
197.925 220.981 238 2
153.717 418.434 244 2
197.31 220.193 232 2
153.187 417.586 238 2
196.615 219.473 226 2
152.748 416.687 244 1
195.999 218.685 232 1
152.31 415.789 244 0
195.47 217.837 238 1
151.872 414.89 244 0
194.854 217.049 232 2
151.342 414.042 238 2
194.324 216.201 238 1
150.903 413.143 244 1
193.886 215.302 244 1
150.561 412.203 250 1
193.356 214.454 238 2
150.123 411.304 244 2
192.74 213.666 232 2
149.781 410.365 250 1
192.045 212.947 226 2
149.539 409.394 256 1
191.351 212.228 226 0
149.297 408.424 256 0
190.585 211.585 220 2
149.158 407.434 262 1
189.756 211.026 214 2
149.123 406.434 268 1
188.927 210.467 214 0
148.984 405.444 262 2
188.098 209.907 214 0
148.949 404.445 268 1
187.269 209.348 214 0
149.019 403.447 274 1
186.502 208.705 220 1
149.088 402.45 274 0
185.808 207.986 226 1
149.158 401.452 274 0
185.192 207.198 232 1
149.228 400.455 274 0
184.576 206.41 232 0
149.402 399.47 280 1
183.961 205.622 232 0
149.575 398.485 280 0
183.345 204.834 232 0
149.749 397.5 280 0
182.65 204.115 226 2
149.922 396.515 280 0
181.884 203.472 220 2
150.096 395.53 280 0
181.055 202.913 214 2
150.27 394.546 280 0
180.289 202.27 220 1
150.443 393.561 280 0
179.523 201.627 220 0
150.617 392.576 280 0
178.757 200.984 220 0
